Name,Distance,Rating,Votes,Address,OriginFile
Riddhi siddhi provision Opp st Church Mahalaxmi,0.62 KM,2.9,13 Votes,"Laxmidas Wadi, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Opp.st.Church",Agripada
Suryoday Stationery General Store Gautam Nagar Mahalaxmi,0.62 KM,,0 Votes,"Shop No.A-1, Mahalaxmi, Mumbai - 400011, Gautam Nagar",Agripada
Kalaniya General Store,0.63 KM,,0 Votes,"201/A, Madanpura, Madanpura, M A Road, Mumbai - 400011",Agripada
Ali Hasan General Stores,0.63 KM,3.0,1 Votes,"Bharucha Compound, Pai, Byculla W, Mumbai - 400011",Agripada
Azad Cloth Stores Jacob Circle Mahalaxmi,0.64 KM,,0 Votes,"56, Rasul Building, K K Marg, Saat Road, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
Roman Dhanya Bhandar Shop Opposite Kotak Mahindra Bank Mahalaxmi,0.65 KM,,0 Votes,"42 - D, Sakhubai Korgaonkar Niwas, K Khadye Marg, Jacob Circle, Mahalaxmi, Mumbai - 400011, Opposite Kotak Mahindra Bank",Agripada
Naik General Stores Tailors K K Marg Near S Bridge Bhaykhala,0.65 KM,,0 Votes,"10/12, Shambhu Nayak Building, Bhaykhala, Mumbai - 400011, K.K. Marg, Near S. Bridge",Agripada
Royal General Stores Sant Gaadge Maharaj Chowk Saat Rasta Mahalaxmi,0.65 KM,,0 Votes,"Shop No 8, Rangwala Building, Shahir Amar Shakh Road, Mahalaxmi, Mumbai - 400011, Sant Gaadge Maharaj Chowk, Saat Rasta",Agripada
Jathar General Stores Jacob Circle Mahalaxmi,0.66 KM,,0 Votes,"Shop-3 sai sadden bldg., K.K. Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
Purnima General Store Near Mahalakshmi Mahalaxmi,0.66 KM,,0 Votes,"Old Aga Building, Sadat Rasta Mumbai, Mahalaxmi, Mumbai - 400011, Near Mahalakshmi",Agripada
Jadhav General stores Jacob Circle Mahalaxmi,0.66 KM,,0 Votes,"Astral building, K.K.Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
Subhash Cloth Stores Mahalaxmi,,,0 Votes,"325 Delisle Rd & N M Joshi Marg, Mahalaxmi, Mumbai - 400011",Agripada
Sadhana Cloth Stores Mahalaxmi,,,0 Votes,"271 Irani Chawl Shop No 115, N M Joshi Marg, Mahalaxmi, Mumbai - 400011",Agripada
Avishkar Sathrasta Mahalaxmi,,,0 Votes,"Mahalaxmi, Mumbai - 400011, Sathrasta",Agripada
Sundar oil depo Bycullaw Mahalaxmi,0.67 KM,,0 Votes,"Habib mention,19 A, haines road, Mahalaxmi, Mumbai - 400011, byculla(w)",Agripada
Maa Stores Jacob Circle Mahalaxmi,0.67 KM,,0 Votes,"Astral Mansin shop no. 5, K.K.Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
T R Tobacco and General Store Jacob Circle Mahalaxmi,0.67 KM,,0 Votes,"Aga khan, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
Subha Stores Opp Mhada simplex main Buliding Mahalaxmi,0.68 KM,,0 Votes,"Shop no 1 opp Mhada simplex main Building, Keshavrao Khadye Marg, Mahalaxmi, Mumbai - 400011, Opp Mhada simplex main Buliding",Agripada
Hardev Super Market Near Byculla Railway Station west Mahalaxmi,0.68 KM,,0 Votes,"Shop no. 1 1st cross lane, N.M Joshi marg, Mahalaxmi, Mumbai - 400011, Near Byculla Railway Station west",Agripada
Shree Ganesh Medical General Stores Near Jaccob Circle Mahalaxmi,0.69 KM,3.7,8 Votes,"Shop No 11, Masjid Chawl, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jaccob Circle",Agripada
Parivar grain and general store Opposite ambulance cement Mahalaxmi,0.69 KM,,0 Votes,"Shop.no6,masjid chawl, dr.e Moses road, Mahalaxmi, Mumbai - 400011, opposite ambulance cement",Agripada
Sainath General Stores Jacob Circle near by dhobi ghat Mahalaxmi,0.7 KM,4.7,3 Votes,"Shop 563, Aba Khan Building, Dr. E. Moses Road, Mahalaxmi, Mumbai - 400011, Jacob Circle, near by dhobi ghat",Agripada
Pariwar General Store Near lic office Mahalaxmi,0.71 KM,,0 Votes,"Shop-6 majid bldg, Jacob circal, Mahalaxmi, Mumbai - 400011, Near lic office",Agripada
Laxmi General Stores Opp Masjid Mahalaxmi,0.72 KM,3.5,7 Votes,"Shop No 7, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Opp Masjid",Agripada
Rajesh Kirana Store,,,0 Votes,"Shop No 21 Building No 481 Byculla, Mumbai - 400011",Agripada
Kasheram Khedekar General Stores Chinchpokli,,,0 Votes,"Ambedkaer Sadan,, Sahane Gurji Marg, Chinchpokli, Mumbai - 400011",Agripada
Shree Pant Traders Near Jacob Circle Mahalaxmi,0.73 KM,4.5,1 Votes,"Shop No 3, Rangwala Building, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jacob Circle",Agripada
