Name,Distance,Rating,Votes,Address,OriginFile
Shah Bhimshi Naiya Opp dariya mall bus stop Walkeshwar,1.71 KM,3.9,20 Votes,"Star Dust Building,shop no 1/a,, 80 Napean Sea Road, Walkeshwar, Mumbai - 400006, opp.dariya mall bus stop",Altamound Road
Gala Provision Stores Opposite Sikka Nagar Charni Road,1.81 KM,4.8,5 Votes,"Shop No 6,18/23,Mehta Heights, Sadashiv Lane, Charni Road, Mumbai - 400004, Opposite Sikka Nagar",Altamound Road
Goyam Organic Khotachi Wadi Corner Prarthana Samaj,0.05 KM,4.0,8 Votes,"Shop No. 10, Shri Mahila Samaj Gruh Udyog, Krishvi Heights, V.P.Road , Sikkanagar, Prarthana Samaj, Mumbai - 400004, Khotachi Wadi Corner",Altamound Road
Amrut Stores Opposite JK Towers Gamdevi,0.83 KM,3.5,5 Votes,"39-47, Goravakar Wadi, H g Road, Gamdevi, Mumbai - 400007, Opposite JK Towers",Altamound Road
Devji Dhanji Grant Road,0.92 KM,3.7,10 Votes,"Shop No 85, Lokmanya Tilak Market, Grant Road, Mumbai - 400007",Altamound Road
Krupa Stores,1.08 KM,5.0,7 Votes,"Navyug Nivas, Ground Floor, A/6, Society, Mumbai - 400007, Lamington Road",Altamound Road
Lucky Stores Opposite Sevenhills Hospital Near Agrwal Sweets Andheri East,1.23 KM,4.1,197 Votes,"Shop No 17, Premavati Anand Compound, Military Road, Andheri East, Mumbai - 400059, Opposite Sevenhills Hospital Near Agrwal Sweets",AndheriEast
Real Super Market Near Vijay Nagar Opposite Vicent Pollotty Church Andheri East,1.53 KM,4.1,47 Votes,"Shop No 5, Vijay Tower, Marol Marosi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar, Opposite Vicent Pollotty Church",AndheriEast
Colony Stores J B Nagar Andheri East,0.49 KM,4.0,21 Votes,"Shop No 4, 80 Bagadka Chawl, Andheri East, Mumbai - 400069, J B Nagar",AndheriEast
Rajwadi Super Stores Near Bagarka College Jb Nagar andheri East,0.42 KM,3.8,62 Votes,"Shop No 1, Narayani Bhavan, Swami Bagarka Road, Jb Nagar-andheri East, Mumbai - 400059, Near Bagarka College",AndheriEast
Shashi Medical Seepz MIDC Next to Aakruti Center Point Andheri East,1.02 KM,4.3,45 Votes,"Shop No D-14, Central Road , MIDC, Andheri East, Mumbai - 400093, Seepz, MIDC, Next to Aakruti Center Point",AndheriEast
A Mart Super Market Near Canossa Convent School Shere Punjab Mahakali Andheri East,1.79 KM,3.9,448 Votes,"Shop No 3,4,5 Sapher Building, Mahakali Cross Road, Mahakali-Andheri East, Mumbai - 400093, Near Canossa Convent School & Shere Punjab",AndheriEast
Shanti General Store Near By Jain Mandir Andheri East,0.34 KM,4.2,5 Votes,"Mehul Apartment, Bhagwan Mahaveer Marg, Andheri East, Mumbai - 400059, Near By Jain Mandir",AndheriEast
Savla General Store Near Off marol Maroshi Road Near Bus Stop Marol Village Andheri East,0.83 KM,4.2,34 Votes,"Shop No -1, Marol Village Road, Andheri East, Mumbai - 400059, Near Off.marol Maroshi Road, Near Bus Stop, Marol Village",AndheriEast
Ganesh General Stores Near seven hill hospital Marol Pipeline Andheri East,1.04 KM,4.4,34 Votes,"Shop no 1 and 2, Marol Maroshi Road, Marol Pipeline-Andheri East, Mumbai - 400059, Near seven hill hospital",AndheriEast
Super Janta Stores Near Holy Family Church Andheri East,1.34 KM,3.6,14 Votes,"Shop No 4 Grace Chamber, Sir M. V Road, Andheri East, Mumbai - 400093, Near Holy Family Church",AndheriEast
Patel Bakery And General Store Bombay Cambridge School Andheri East,1.09 KM,4.4,12 Votes,"2/cicila Cottage Dewalwadi Chakala, Bombay Cambridge Road, Andheri East, Mumbai - 400099, Bombay Cambridge School",AndheriEast
Diamond Medical General Store Near Vijay Nagar Bus Stop Andheri East,1.49 KM,4.5,14 Votes,"Building No E-4, Shop No 5, Naina Vijay Co-Operative Housing Society Limited, Marol Maroshi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar Bus Stop",AndheriEast
Farm House Super Market Near St John School Andheri East,0.48 KM,4.2,8 Votes,"Shop No 3 and 4, Vicmom Co Operative Society, Marol Church Road, Andheri East, Mumbai - 400059, Near St John School",AndheriEast
Kinjal Medical General Stores Oriental Aster Andheri East,0.95 KM,4.2,41 Votes,"1 Nanda Deep Tarun Bharat Society, Tarun Bharat Road, Andheri East, Mumbai - 400099, Oriental Aster",AndheriEast
Maru Store Off Apple Heritage Andheri East,0.95 KM,4.2,65 Votes,"101, Dr Charat Singh Colony, Andheri East, Mumbai - 400093, Off Apple Heritage",AndheriEast
Sangam Medical General Stores Near Cigarette Factory Andheri East,1.22 KM,4.3,30 Votes,"Shop No-2, Royal Accord Cigarette Factory, Tati Baharat Road, Andheri East, Mumbai - 400099, Near Cigarette Factory",AndheriEast
Honesty General Stores Opposite Cigarette Factory Chakala Andheri East,1.24 KM,3.9,8 Votes,"Shop No 2 Kurban Husain Chawl, Sahar Road, Andheri East, Mumbai - 400099, Opposite Cigarette Factory, Chakala",AndheriEast
Chheda Grain Store Near Samraj Hotel Andheri East,1.3 KM,4.6,12 Votes,"Shop No 2, Vishwananak Apartment, Chakala Street, Andheri East, Mumbai - 400099, Near Samraj Hotel",AndheriEast
Shree Mahavir Medical General Store Anand Nagar Nr Sanjeevani Hospital Andheri East,1.45 KM,3.5,6 Votes,"Shop No 2, 3 Parimal Bldg, S N Marg, Andheri East, Mumbai - 400059, Anand Nagar, Nr Sanjeevani Hospital",AndheriEast
Pramanik Super Stores Near Airport Colony Sahar Andheri East,1.45 KM,4.6,9 Votes,"Sent Anthony Cottage, Baman Wada, M C Chagla Marg, Sahar-Andheri East, Mumbai - 400099, Near Airport Colony",AndheriEast
Bhagwanta Kirana Merchants Near Mahakali Circle Andheri East,1.73 KM,4.5,8 Votes,"Shop No -27,HEK Compound, Mahakali Caves Road, Andheri East, Mumbai - 400093, Near Mahakali Circle",AndheriEast
Apna Super Market Opposite Mvm High School Andheri West,0.87 KM,3.9,14 Votes,"Shop No 1, Sai Avenue, Veera Desai Road, Andheri West, Mumbai - 400058, Opposite Mvm High School",AndheriWest
Chheda Dal Mill Near Navrang Cinema Andheri West,1.38 KM,4.1,20 Votes,"Plot No.123, Shop No.6, Khandwani Mansion, J.P.Road, Andheri West, Mumbai - 400058, Near-Navrang Cinema",AndheriWest
Sky Home Super Market Near Corporation Bank Andheri West,0.61 KM,4.2,85 Votes,"Shop No 4, B Wing, Dev Prestige, Veera Desai Road, Andheri West, Mumbai - 400058, Near Corporation Bank",AndheriWest
Star Bazaar Near Indian Oil Junction and Tata Power House Jeevan Nagar Off New Link Road Dn Nagar andheri West,0.2 KM,4.1,5335 Votes,"Ground Floor, Crystal Point, SV Road, Dn Nagar-andheri West, Mumbai - 400053, Near Indian Oil Junction and Tata Power House, Jeevan Nagar, Off New Link Road",AndheriWest
Goodluck General Store Opposite Masjid Gilbert Hill Andheri West,1.38 KM,4.1,48 Votes,"Shop No 18, J P Road, Andheri West, Mumbai - 400058, Opposite Masjid, Gilbert Hill",AndheriWest
New Grand Stores Opposite J P Road Bon Bon Seven Bunglows Versova Andheri West,1.07 KM,4.0,221 Votes,"Shop No 21/22, Evershine Apartment No 2, J P Road, Andheri West, Mumbai - 400053, Opposite J P Road, Bon Bon, Seven Bunglows, Versova",AndheriWest
Varsha Medical General Store Opposite Andheri Railway Station Andheri West,1.72 KM,4.3,150 Votes,"Shop No 205, Harish Shopping Center, S V Road, Andheri West, Mumbai - 400058, Opposite Andheri Railway Station",AndheriWest
Diamond Soap Centre Near Sai Baba Mandir Ratan Nagar Andheri West,0.79 KM,4.0,34 Votes,"Shop No.1, Nanadkripa Shopping Center, Ratan Nagar, 4 Bunglow, Andheri West, Mumbai - 400053, Near Sai Baba Mandir, Ratan Nagar",AndheriWest
Good Luck General Store Opposite Wadia School Andheri West,0.29 KM,4.0,359 Votes,"Shop No 1 & 2 Dhake Colony, J P Road, Andheri West, Mumbai - 400053, Opposite Wadia School",AndheriWest
Deepak General Store Opposite Uco Bank Four Bunglow Guru Nagar Andheri West,0.69 KM,4.4,34 Votes,"Shop No 10,Building No 1, Gurunagar Building, J P Road, Four Bungalows, Andheri West, Mumbai - 400053, Opposite Uco Bank,Four Bunglow,Guru Nagar",AndheriWest
Mahavir Food Mart Near Good Sheperd Church Four Bunglows andheri West,0.88 KM,4.1,98 Votes,"Shop No A1/A2 Vibhavari Housing Society, N Datta Marg, Four Bunglows-andheri West, Mumbai - 400053, Near Good Sheperd Church",AndheriWest
Variety Provision Stores Opp Ashoka Academy School Lokhandwala Complex Andheri West,1.4 KM,3.5,33 Votes,"Shop No-3,Clan Field Bldg, Off New Link Road, Lokhandwala Complex-Andheri West, Mumbai - 400053, Opp-Ashoka Academy School,",AndheriWest
Amardeep Super Market Near Lokhandwala Circle Shastri Nagar Andheri West,1.19 KM,4.1,41 Votes,"Shop No 3, 7 Skyway Building, Shastri Nagar, Andheri West, Andheri West, Mumbai - 400053, Near Lokhandwala Circle, Shastri Nagar",AndheriWest
Savla Store Opposite BMC Market Andheri West,1.64 KM,4.2,36 Votes,"Shop No.343, S V Road, Andheri West, Mumbai - 400058, Opposite BMC Market",AndheriWest
New Roman Stores Opposite Bank Of Maharashtra 7 Bungalow Andheri West,1.46 KM,4.0,110 Votes,"Shop No-4,Janakdeep Apartment, J.P Road, Andheri West, Mumbai - 400061, Opposite Bank Of Maharashtra, 7 Bungalow",AndheriWest
Shri Ram Medical General Stores Near Seven Bungalow Axis Bank Off JP Road Andheri West,1.5 KM,4.1,47 Votes,"Shop 4, Tulsi Building No 1, Jp Road, Andheri West, Mumbai - 400053, Near Seven Bungalow & Axis Bank, Off JP Road",AndheriWest
Twinkle General Store Off Linking Road Oshiwara Lokhandwala Complex Andheri West,1.55 KM,3.9,95 Votes,"Twinkle Apartment, Shop No 12, Lokhandwala Complex-Andheri West, Mumbai - 400053, Off Linking Road, Oshiwara",AndheriWest
Tashkent Medical And General Store Near BMW Showroom and Tashkent Bakery Andheri West,1.6 KM,4.3,29 Votes,"Shop No 600/C, KWG Juhu Lane, Andheri West, Mumbai - 400058, Near BMW Showroom and Tashkent Bakery",AndheriWest
Evershine Chemist Medical General Store Near Country Club Prathmesh Complex Andheri West,1.17 KM,4.1,27 Votes,"Shop No.1, The Panorama Towers Chs Ltd,, Veera Desai Road, Andheri West, Mumbai - 400053, Near Country Club ,Prathmesh Complex",AndheriWest
Laxmi Medical General Store Near Suresh Nagar Andheri West,0.86 KM,4.3,28 Votes,"Shop No-2/3,Mohid Height, Lokhandwala Road, Andheri West, Mumbai - 400053, Near Suresh Nagar",AndheriWest
Lucky Super Market Opposite Mala Tower Lokhandwala Complex Andheri West,0.94 KM,3.8,101 Votes,"Legend, Shop No 12, Plot 95, Lokhandwala Complex-Andheri West, Mumbai - 400053, Opposite Mala Tower",AndheriWest
Satyam Stores Near Lokhandwala Market Andheri West,1.52 KM,4.2,68 Votes,"Shop No-8,Shiv Shadan, Samarth Nagar, Andheri West, Mumbai - 400053, Near-Lokhandwala Market",AndheriWest
Ramdev Super Market Opposite HDFC Bank 7 Bunglows Andheri West,1.75 KM,4.0,78 Votes,"Shop No 4, Atlanttis Building, J P Road, Andheri West, Mumbai - 400061, Opposite HDFC Bank, 7 Bunglows",AndheriWest
Sheetal General Stores Near Four Bunglow Navjit Nagar Andheri West,1.02 KM,4.0,24 Votes,"Shop No 11, Church Road, Andheri West, Mumbai - 400053, Near Four Bunglow, Navjit Nagar",AndheriWest
Arif General Stores Near O N G C Building kapaswadi Andheri West,1.04 KM,3.7,16 Votes,"Shop No-1, Ganesh nagar, Opp-juhu versova link road, Andheri West, Mumbai - 400053, Near O.N.G.C. Building, kapaswadi",AndheriWest
Lucky Medical General Stores Near Four Bunglow Market Andheri West,0.78 KM,3.9,80 Votes,"Building No 27 Shop No 2, Manish Nagar, Andheri West, Mumbai - 400053, Near Four Bunglow Market",AndheriWest
Vijay General Stores Near Lokhandwala Complex Andheri West,1.18 KM,4.1,15 Votes,"Building No X-17, Uttara Building,Shop No 2, Shastri Nagar, Andheri West, Mumbai - 400053, Near Lokhandwala Complex",AndheriWest
Kohinoor Stores Near Vegetable Market Andheri West,1.66 KM,4.4,8 Votes,"Shop No.16, S V Road, Andheri West, Mumbai - 400058, Near. Vegetable Market",AndheriWest
Apple Medical General Store Opposite to Indian Oil Petrol Pump Andheri West,0.45 KM,3.8,16 Votes,"Shop No 2 Shitladevi Devi Co Operative Society, New Link Road, Andheri West, Mumbai - 400053, Opposite to Indian Oil Petrol Pump",AndheriWest
Liberty General Store Four bungalow Andheri West,0.52 KM,3.8,15 Votes,"Shop no-5/a,manish shopping centre, J.p.road,andheri west, Andheri West, Mumbai - 400053, Four bungalow",AndheriWest
Mumbai Masala Shop Near Jansahkari Bank Four Bunglows Andheri West,0.79 KM,3.8,25 Votes,"Shop No.05, Nandkripa Annex Shopping Centre, Ratan Nagar, Four Bunglows-Andheri West, Mumbai - 400053, Near Jansahkari Bank",AndheriWest
Modern Stores Near Lokhandwala Andheri West,1.12 KM,3.6,84 Votes,"Shop 8, B-23 Wembley CHS, Shastri Nagar, Andheri West, Mumbai - 400053, Near Lokhandwala",AndheriWest
Jinal Craft Near Bus Depot Andheri West,1.85 KM,3.7,11 Votes,"46, Nadco Super Shopping Centre, S V Road, Andheri West, Mumbai - 400058, Near Bus Depot",AndheriWest
Amber Stores Sweet Opp St Louis Convent School Andheri West,0.71 KM,4.0,11 Votes,"Shop No-4,25/26, Manish Sun Flower, 4 Bunglows Road, Andheri West, Mumbai - 400053, Opp- St. Louis Convent School",AndheriWest
Shree Balaji Medical General Store Near Aadarsh Nagar Next to Lotus Petrol Pump Andheri West,1.52 KM,3.9,51 Votes,"Shop No 2, Plot No 971, New Link Road, Andheri West, Mumbai - 400053, Near Aadarsh Nagar, Next to Lotus Petrol Pump",AndheriWest
Rex General Stores Andheri West,1.12 KM,4.1,408 Votes,"144, Gharkul Society, Mudran Press Colony, Model Town Road, Andheri West, Mumbai - 400061",AndheriWest
Anand Stores Near Lokhandwala Complex Andheri West,1.2 KM,4.2,24 Votes,"Shop No-0 5 Skyway Building, Shastri Nagar, Andheri West, Mumbai - 400053, Near Lokhandwala Complex",AndheriWest
Purnima Medical General Stores Opposite Shoppers Stop Andheri West,1.98 KM,4.4,8 Votes,"Shop No. 35, Viral Shopping Center, S V Road, Andheri West, Mumbai - 400058, Opposite Shoppers Stop",AndheriWest
Mahaveer Medical General Store Opp bombay Bazar Andheri West,1.13 KM,4.0,45 Votes,"Shop No 3, 139 Vasant Niwas, J P Road, Andheri West, Mumbai - 400058, Opp.bombay Bazar",AndheriWest
Gupta tobacco general store Near Gurudwara Manish Nagar Andheri West,0.46 KM,3.5,6 Votes,"9/10, Kanchan Ganga shop no.10, JP road, Manish Nagar-Andheri West, Mumbai - 400053, Near Gurudwara",AndheriWest
Dhanlaxmi General Stores Opposite D N Nagar Police Station D N Nagar Andheri West,0.73 KM,3.9,23 Votes,"Shop No 1, Building No 43, Shramik Society, Link Road, Andheri West, Mumbai - 400058, Opposite D N Nagar Police Station, D N Nagar",AndheriWest
Rishikesh Stores Opposite Bus Depot Seven Bunglow Andheri West,1.39 KM,4.1,22 Votes,"Shop No 2, Avinash Building, J P Road, Andheri West, Mumbai - 400053, Opposite Bus Depot Seven Bunglow",AndheriWest
Ambe Chemist Opposite Sanbless Church Amboli Naka Andheri West,1.53 KM,4.4,86 Votes,"Shop No 5 Suvidha Milind Business Venture, S V Road Corner Ceasar Road, Andheri West, Mumbai - 400058, Opposite Sanbless Church Amboli Naka",AndheriWest
Metro Chemist And Druggist Opp Jivan Jyot Madicel Center Near Mahavir Jain Tempale Andheri West,1.59 KM,4.2,21 Votes,"Shop No.03 Juhu Aradhana Building, Juhu Lane, Andheri West, Mumbai - 400058, Opp.Jivan Jyot Madicel Center Near Mahavir Jain Tempale",AndheriWest
Universal Stores Bakery Opposite New India Stock Colony Andheri West,1.85 KM,4.1,33 Votes,"Himachal Building, Shop No 11, Juhu Lane, Andheri West, Mumbai - 400058, Opposite New India Stock Colony",AndheriWest
My Choice Near Lokhandwala Complex Andheri West,1.87 KM,4.0,23 Votes,"Shop No 8, Accropolist, Road No 3, Andheri West, Mumbai - 400053, Near Lokhandwala Complex",AndheriWest
