lat,lng
18.9751271,72.8265952
18.9796403,72.8194259
18.981962,72.8264389
18.985886,72.8274979
18.9857891,72.8317011
18.9874955,72.8315235
18.986674,72.835227
18.9707993,72.8051955
18.9638786,72.8088492
18.96686,72.80777309999999
18.9706377,72.81016919999999
18.9708245,72.8096924
18.9763673,72.8075113
18.9753196,72.8065379
18.953749,72.79789400000001
18.9566265,72.8005543
18.9535687,72.8031974
18.959018,72.8218461
18.9537439,72.8022824
18.961808,72.8133592
18.9622943,72.8101406
18.9644051,72.8156336
18.9563686,72.8193521
18.9591997,72.8139185
18.9589339,72.82203439999999
18.974969,72.813065
18.9667754,72.8168044
18.9764393,72.8118774
18.9657017,72.8133541
18.9547974,72.7981926
18.952527,72.79703219999999
18.95521,72.8223744
18.9568361,72.8207543
18.9588584,72.8135616
18.9611142,72.8185927
18.964786,72.8189752
19.116977,72.880223
19.1213225,72.87981669999999
19.1112015,72.89569089999999
19.1106581,72.8668024
19.1194869,72.8699682
19.1254556,72.8644632
19.108691,72.8680658
19.1124504,72.8783411
19.1179997,72.8780374
19.1151885,72.8590167
19.1054291,72.8621636
19.0665175,72.8532292
19.1126318,72.8753571
19.1079983,72.8620483
19.1131785,72.8621963
19.10793,72.85952
19.107843,72.859323
19.1116244,72.8584516
19.200895,72.8480357
19.104407,72.8585622
19.1249578,72.86454429999999
19.1328936,72.8397652
19.123444,72.8438669
19.1287781,72.8381146
19.221898,72.8682616
19.079053,72.82984569999999
19.1296485,72.8221551
19.1200141,72.8453416
19.0747447,72.8869986
19.14545,72.846614
19.1288164,72.8257852
19.1236945,72.82649889999999
19.141155,72.82767
19.1386486,72.8265741
19.123975,72.84651819999999
19.1304067,72.8184271
19.125207,72.8403809
19.1412628,72.82579679999999
19.1168433,72.83972729999999
19.138765,72.83747190000001
19.1343082,72.8260744
19.1430384,72.8225413
19.1413256,72.82529810000001
19.129388,72.815651
19.1244212,72.8241647
19.0594905,72.8672997
19.127033,72.8253258
19.1454826,72.82295490000001
19.1235884,72.8464063
19.1274073,72.831377
19.1286656,72.82808849999999
19.1283293,72.8249008
19.1384954,72.8275463
18.9535643,72.8294171
19.1273287,72.8254236
19.1430274,72.83159719999999
19.1291639,72.82164829999999
19.1386464,72.82654
19.1136302,72.8714403
19.123803,72.8446885
