Name,Distance,Rating,Votes,Address
Singer Jewellers Pedder Road,0.12 KM,3.2,8 Votes,"Jewellers Appartment, Shahid Bhagat Singh Nagar, Cumballa Hill, Pedder Road, Mumbai - 400026"
Godrej Natures Basket Opposite Mahalaxmi Temple Near Nalli Sarees Warden Road,0.91 KM,4.1,1290 Votes,"Shop No.8, Ground Floor, Tirupati Apartment, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Opposite Mahalaxmi Temple, Near Nalli Sarees"
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.35 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital"
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.57 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital"
New Vijay Store Behind Jas Lok Hospital Pedder Road,,4.0,2 Votes,"Shop No:01, 31D, Bhavisha Darshan Building, Altamount Road, Pedder Road, Mumbai - 400026, Behind Jas Lok Hospital"
Bhimshi Vershi Company Opp Nalanda Building Pedder Road,0.18 KM,4.2,20 Votes,"63, Mani Mansion, Pedder Road, Mumbai - 400026, Opp Nalanda Building"
Bharat Stores Next to Jaslok Hospital Pedder Road,0.48 KM,4.3,20 Votes,"19, Shanti Building No 2, Pedder Road, Mumbai - 400026, Next to Jaslok Hospital"
Nutan Stores Near Jaslok Hospital Breach Candy,0.5 KM,3.9,9 Votes,"Purnima Apartment, Pedder Road, Breach Candy, Mumbai - 400026, Near Jaslok Hospital"
Amit Stores Mahalaxmi Breach Candy,0.95 KM,4.1,8 Votes,"28/A,Bachubhai Niwas, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Mahalaxmi"
Bhaskar Store Near Jaslok Hospital Pedder Road,0.49 KM,5.0,1 Votes,"Sukh Shanti Building, Blg No. 2, Shop No. 5, Pedder Road, Mumbai - 400026, Near Jaslok Hospital"
Navrang Dhanya Bhandar Near Shobha Hotel Warden Road,1.07 KM,,0 Votes,"Shop No 6, K P Trust Building, B 30 Road, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Near Shobha Hotel"
Nutan Stores Near Parsi General Hospital Breach Candy,0.1 KM,,0 Votes,"Shop No 7, Bhomanji Road, Breach Candy, Mumbai - 400026, Near Parsi General Hospital"
Keshavji Padamshi Grocery Stores Near Mahalaxmi Temple Breach Candy,,,0 Votes,"Shope No 1 Ram Das Bansali Chawl, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Near Mahalaxmi Temple"
