Name,Distance,Rating,Votes,Address
Pragati Chemist And General Store Mira Road Mira Road,0.98 KM,5.0,1 Votes,"Lodha Complex, Shop No.11, Chandresh Abhisekh, Mira Bhayandar, 60 Feet Road, Mira Road, Thane - 401107, Mira Road"
Navjivan Medical General Stores Near Ideal Park Mira Road,1 KM,4.2,7 Votes,"Shop No. 6, Om Sadanand Apartment, Mira Bhayandar Rd, P K Road, Mira Road, Thane - 401107, Near Ideal Park"
New Azad General Store Opposite New Petrol Pump Mira Road,1.07 KM,,0 Votes,"Shop No-3, Chandresh Accord, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite New Petrol Pump"
Shri Balaji kirana stores Near silver park signal Mira Road,1.07 KM,,0 Votes,"Shop no.1, Building no.7, Sunder Darshan, Mira Bhayandar Road, Mira Road, Thane - 401107, Near silver park signal"
Balaji Kirana Store Near New Golden Nest Mira Road,1.08 KM,,0 Votes,"Shop No-4, Sonam Classic, Mira Bhayandar Road, Mira Road, Thane - 401107, Near New Golden Nest"
New Super Market Mira Bhayandar Road Mira Road,1.11 KM,,0 Votes,"Shop No.6 Building No 18, Sonam Classic, New Golden Nest, Mira Road, Thane - 401107, Mira Bhayandar Road"
Jay Bajrang General Store Mira Bhayandar Road Mira Road,1.13 KM,,0 Votes,"Shop No.4 Bldg-22 Phace -11 Sonam Vina Chs, New Golden Nest, Mira Road, Thane - 401107, Mira Bhayandar Road"
Shree Ganesh General Store Opp SAI Baba Mandir Mira Road,1.23 KM,,0 Votes,"Shop No 11,Bldg No B/2,Silver Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp SAI Baba Mandir"
Mahalaxmi Medical General Stores Silver Park Mira Road,1.26 KM,4.0,3 Votes,"Shop No 69, Bldg No 11,Chandresh Accord, Mira Bhayandar. Road, Mira Road, Thane - 401107, Silver Park"
Maa Ambe Kirana Stores Opp Nischal Motors Near D Mart Hatkesh Mira Road,1.43 KM,4.0,1 Votes,"Shop No-12,F Wing Harias Dream Park,, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp-Nischal Motors,Near D Mart,Hatkesh"
Panchmukhi Medical Store Near GCC The Family Club Mira Road,1.46 KM,4.3,3 Votes,"Shop No-16,Ritu Paradise Phase 1, Mira Bhayandar Road, Mira Road, Thane - 401107, Near GCC The Family Club"
Vikash General Store Nr GCC Club Mira Road,1.49 KM,,0 Votes,"Shop No-29, Haria's Dream Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Nr. GCC Club"
Vikas General Store Opp Blue Dart Mira Road,1.5 KM,3.7,5 Votes,"Shop No-29,Harias Dream Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp-Blue Dart"
Pooja General Store Near Sanghvi Nagar Mira Road,1.61 KM,4.3,6 Votes,"Shop No-36,Sankesh Building, Mira Bhayandar Road, Mira Road, Thane - 401107, Near Sanghvi Nagar"
Wel Come Medical General Store Near G C C Club Mira Road,1.62 KM,4.8,3 Votes,"Shop No 3, Orchid Co.Op, Mira Bhayandar Road, Mira Road, Thane - 401107, Near G.C.C. Club"
Good Shepherd Stationery And General Store Near Sanghvi Nagar Near Buddha Chowk Mira Road,1.62 KM,,0 Votes,"Shop No-47,Sankesh Building, Mira Bhayandar Road, Mira Road, Thane - 401107, Near Sanghvi Nagar,Near Buddha Chowk"
Navjyoti Medical General Stores Haria Dream Park Mira Road,1.7 KM,4.5,12 Votes,"Shop No 11,Reetu Pradise, Mira Bhayandar Road, Mira Road, Thane - 401107, Haria Dream Park"
Manmohan General Stores Hatkesh Opp Mangalam Traders Mira Road,1.76 KM,,0 Votes,"Shop No-A/11,Sanghvi Towers, Mira Bhayandar Road, Mira Road, Thane - 401107, Hatkesh,Opp-Mangalam Traders,"
New Hanuman Kirana Store Mira bhayandar road Mira Road,1.91 KM,2.9,5 Votes,"Shop no-26, Saiman Sarovar Complex, Pleasant Park, Mira Road, Thane - 401107, Mira bhayandar road"
Sheetal General Store Present Park Mira Road,1.96 KM,,0 Votes,"Shop No-1 Present Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Present Park"
Om Sai General Store Opp Shamrao vithal bank Mira Road,0.88 KM,,0 Votes,"Shop no-4, shanti niketan c.h.s, Mira bhayandar road, Mira Road, Thane - 401107, Opp. Shamrao vithal bank"
Magan Provision General Stores Opposite Sai Baba Mandir Silver Park Mira Road,1.28 KM,,0 Votes,"Shop No 6, B/1,, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite Sai Baba Mandir,Silver Park"
Market Point Near Kanakia Police Chauki Beverly Park mira Road,0.58 KM,3.8,314 Votes,"Shop No.8.9 &10, Saroji Enclave, Kanakia Road, Beverly Park-mira Road, Thane - 401107, Near Kanakia Police Chauki"
Sanjay Medical General Stores Sector 5 Near Jain Temple Mira Road,0.98 KM,4.5,154 Votes,"B-28, Madhukar Building, Shop No 3/4, Shanti Nagar, Mira Road, Thane - 401107, Sector 5, Near Jain Temple"
Deepak Stationery General Store Opp St Xavier School Mira Road,1.42 KM,3.9,24 Votes,"Shop No 4, Rashmi Enclave, C Building, Shanti Park Road, Mira Road, Thane - 401107, Opp St Xavier School"
The Family Mart Opposite Poonam Estate Mira Road,1.88 KM,4.3,24 Votes,"Cluster 2, Shop No.33, 34, 35, Building No.7,8,9, Mira Road, Thane - 401107, Opposite Poonam Estate"
Sneha General Stores Opposite Sector 6 Near Jain Mandir Sector No 5 Shanti Nagar mira Road,0.98 KM,3.9,52 Votes,"B/28, Shop No 6, Shanti Nagar-mira Road, Thane - 401107, Opposite Sector 6, Near Jain Mandir, Sector No 5"
Navya Medical General Store Opposite Wockhardt Hospital Naya Nagar Mira Road,0.58 KM,3.8,16 Votes,"Shop No 20 , Asmita Lords Plaza, Rassaz Road, Mira Road, Thane - 401107, Opposite Wockhardt Hospital, Naya Nagar"
Ganga Supermarket Jahangir Complex Opposite J K Bank Silver Park mira Road,1.25 KM,4.0,6 Votes,"Shop No 16/17, Ganga Shopping Centre, Silver Park-mira Road, Thane - 401107, Jahangir Complex, Opposite J & K Bank"
Amardeep General Store Near ICICI Bank Sector 5 Mira Road,1.77 KM,4.0,149 Votes,"Shop No 7/8, Surya Shopping Centre, Shrusti Complex, Mira Road, Thane - 401107, Near ICICI Bank, Sector 5"
Kanhaiya General Store Near Jain Mandir Sector No 5 Mira Road,0.94 KM,3.5,5 Votes,"Shop No 5, Building No B/2, Shanti Nagar, Mira Road, Thane - 401107, Near Jain Mandir, Sector No 5"
Balaji Medical General Store Balaji Hospital Mira Road,0.84 KM,3.0,2 Votes,"Shop No,-14 Son Am Ektamanch Bldg, Mira Bhayander Road, Mira Road, Thane - 401107, Balaji Hospital"
Khetlaji Trading Co Opp Sector 2 Mira Road,1.28 KM,4.1,8 Votes,"Shop No 1,2,3 , Building No B-13,Shanti Nagar, Sector-10, Mira Road, Thane - 401107, Opp. Sector-2"
Parmar Medical General Stores Near Indra Hospital Shanti Nagar Sector No 9 Mira Road,1.63 KM,4.3,36 Votes,"Shop No 10/11, Building No B12, Mira Road, Thane - 401107, Near Indra Hospital Shanti Nagar Sector No 9,"
Regal Medical General Store Opposite Cinemax Theater Mira Road,0.96 KM,4.1,12 Votes,"Shop No 6, Building No A-7, Eden Rose Shopping Centre, Kanakia Space, Beverly Park, Mira Road, Thane - 401107, Opposite Cinemax Theater"
Master Bakery General Store Near Parivar Hotel Poonam Sagar Complex Mira Road,1.95 KM,4.4,51 Votes,"Uphar 2, Shop No 5, Asmita Building, Mira Road, Thane - 401107, Near Parivar Hotel & Poonam Sagar Complex"
Our Lady Of Velankanni Mira Road,0.33 KM,1.0,1 Votes,"Shop no-6,Ground Floor, Noopur nagar, Mira Road, Thane - 401107"
Purnima General Stores Mira Road,0.73 KM,3.0,1 Votes,"Narendra Park, Shop No, 5, Nayanagar,, Mira Road, Thane - 401107"
Rehan Medical General Stores Near Narendra Park Naya Nagar Mira Road,0.86 KM,4.2,15 Votes,"Shop No 7, Milap Apartment, Lodha Road, Mira Road, Thane - 401107, Near Narendra Park, Naya Nagar"
Monica Trading Company Nr Latif Park Mira Road,0.86 KM,3.8,5 Votes,"Shop No 5, Solitaire III, Building No 13, Poonam Garden, Mira Road, Thane - 401107, Nr. Latif Park"
Suman Medical General Stores Beverly Park Opp Cinemax Mira Road,0.88 KM,3.7,50 Votes,"Shop No 9, Eden Rose Shopping Centre, Kanakia Road, Mira Road, Thane - 401107, Beverly Park, Opp Cinemax"
Star Medical Mittalal Jain Bunglow Mira Road,0.97 KM,5.0,1 Votes,"Sonam Tower,Shop No.6/7,Phase12,New Golden Nest, Golden Nest Road, Mira Road, Thane - 401107, Mittalal Jain Bunglow"
Manglore Store Near Cinemax Mira Road,0.99 KM,3.1,4 Votes,"Eden Rose, Bldg Non 8, Shop No 3,, Beverly Park, Kanakia Road,, Mira Road, Thane - 401107, Near Cinemax"
Shraddha Medical General Store Near HDFC Bank Shanti Park mira Road,1.13 KM,4.2,12 Votes,"Shop No. 4/5, Jangid Apartment, Shanti Park-mira Road, Thane - 401107, Near HDFC Bank"
Kerala General Store Opposite Nagori Dairy Shanti Park mira Road,1.25 KM,5.0,1 Votes,"Shop No-5, N Wing, Gokul Village, Shanti Park-mira Road, Thane - 401107, Opposite Nagori Dairy"
Metro Super Market Opposite Seven Eleven Scholastic School Unique Garden Near Jangid Enclave Beverly Park Mira Road,1.48 KM,2.9,6 Votes,"Shop No 1, Shree Sharanam, Jangid Enclave, Beverly Park-Mira Road, Thane - 401107, Opposite Seven Eleven Scholastic School, Unique Garden, Near Jangid Enclave"
