Name,Distance,Rating,Votes,Address
Maratha Stores Near Dena Bank Colaba,1.95 KM,3.7,110 Votes,"40/A, Dena Bank Building, Shahid Bhagat Singh Marg, 3rd Pasta Lane, Colaba, Mumbai - 400005, Near Dena Bank"
Shah Vasanji Damji Opposite Badshah Cold Drink House Opposite CID Office Crawford Market,1.32 KM,4.0,18 Votes,"Shop No 376/377/378, D N Road, Crawford Market, Mumbai - 400001, Opposite Badshah Cold Drink House, Opposite CID Office"
New Colaba Super Market Opposite Dena Bank Colaba,1.99 KM,4.1,29 Votes,"Shop No 1, Ruby Terrace, Lala Nigam Road, Colaba, Mumbai - 400005, Opposite Dena Bank"
Salunke Bandhu Near Vegetable Market Chira Bazar kalbadevi,1.4 KM,4.1,7 Votes,"Shop No 509, Sona Chambers, J S S Road, Chira Bazar-kalbadevi, Mumbai - 400002, Near Vegetable Market"
R R Acharia Inside Crawford Market Mahatma Phule Market Fort,1.75 KM,5.0,2 Votes,"Shop No 382, Fort, Mumbai - 400001, Inside Crawford Market, Mahatma Phule Market"
Janta Provision Stores Fort,1.16 KM,,0 Votes,"165, Bora Bazar Street, Fort, Mumbai - 400001"
Om Grocery Store,,,0 Votes,Mumbai - 400001
Alpha General Store Opp Stationary Zone Fort,1.29 KM,4.3,6 Votes,"95 Sai Bihar, Modi Street, Fort, Mumbai - 400001, Opp. Stationary Zone"
Bhawaniprasad Ramdas Co Fort,1.36 KM,,0 Votes,"10 Smt Meena Mehta Marg, Fort, Mumbai - 400001"
Ration Issue Centre Near Bus Depot Number 3 Navy Nagar Colaba,,4.0,1 Votes,"Colaba, Mumbai - 400005, Near Bus Depot Number 3, Navy Nagar"
All In One General Store Maheshwari Mata Mandir Sham Bhavan Navi Wadi Chira Bazar kalbadevi,1.65 KM,5.0,1 Votes,"Shop No 1, Building No 20, Dadi Seth Agyari Lane, Chira Bazar-kalbadevi, Mumbai - 400002, Maheshwari Mata Mandir, Sham Bhavan Navi Wadi"
Suresh General Store Behind Round Masjid Dhobi Talao,0.97 KM,4.3,2 Votes,"Shop No.48, 2nd Marin Street, Dhobi Talao, Mumbai - 400002, Behind Round Masjid"
Jadeja Govindji Devji Company Sudama Niwas Fort,1.18 KM,4.5,4 Votes,"58/62, Bora Bazar Street, Fort, Mumbai - 400001, Sudama Niwas"
Dhanalaxmi Kirana Store Near to Hita Bhavan Hotel Princess Street,1.23 KM,4.0,1 Votes,"Shop No -216, Sethna Building, Princess Street, Princess Street, Mumbai - 400002, Near to Hita Bhavan Hotel"
