Name,Distance,Rating,Votes,Address
Arihant Medical General Stores Maharashtra Nagar Mahalaxmi,1.19 KM,4.7,3 Votes,"5/1, 24, J R Boricha Marg, Mahalaxmi, Mumbai - 400011, Maharashtra Nagar"
Shree Ganesh General Store Near Jacob Circle Mahalaxmi,1.84 KM,3.8,2 Votes,"Shop No 1 Shanti Niketan Building, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near Jacob Circle"
New Life Mobile General Store Near Molana Azad School Mahalaxmi,0.28 KM,,0 Votes,"7AO, Hamid Building, 77/C, M A Road, Mahalaxmi, Mumbai - 400011, Near Molana Azad School"
Om Sai General Store Jacob Circle Mahalaxmi,0.29 KM,,0 Votes,"Mala Building Shop No. 76, K.K Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Amul Stores Mahalaxmi,0.32 KM,3.0,2 Votes,"Ragol Jiwa Compound, Shop No.1, Satrasta, Rto Colony, Jacob Circle, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011"
Aziz General Store,0.41 KM,5.0,2 Votes,"33c , 43d, Green Boil, Royal Appartment, M.A. Road, Mumbai - 400011, Near Jacob Circle"
Gullu General Store,0.46 KM,4.0,2 Votes,"Municipal Patra Chawl No 37 Shop No1, Byculla West, Byculla Station Road, Mumbai - 400011, Behind Coolpoint Chicken Shop, Mazgaon"
Alim Stores Jacob Circle Mahalaxmi,0.49 KM,,0 Votes,"Room No 5, Viajy Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Alyani Traders,0.5 KM,5.0,1 Votes,"Royal Appartment, Shop No.7,., Narmada Nivas, Saat Rasta, Mumbai - 400011"
Kolte Shop Jacob Circle Mahalaxmi,0.57 KM,,0 Votes,"Shop No 10/11 Kashinath Bld, Saat Rasta, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Nirmala Shetty Jacob Circle Mahalaxmi,0.59 KM,,0 Votes,"Round Building, B. J. Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Riddhi siddhi provision Opp st Church Mahalaxmi,0.62 KM,2.9,13 Votes,"Laxmidas Wadi, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Opp.st.Church"
