Name,Distance,Rating,Votes,Address
S v setti S p road Fanas Wadi Kalbadevi,0.6 KM,,0 Votes,"Shop no.106, Jagannath chawl, Fanas Wadi-Kalbadevi, Mumbai - 400002, S.p road"
R M Opticals Near A One Mobile Shop Vitthalwadi Kalbadevi,0.6 KM,,0 Votes,"Kalbadevi, Mumbai - 400002, Near A One Mobile Shop , Vitthalwadi"
Bhagvandas General Store Kalbadevi,0.64 KM,,0 Votes,"38/40, Champa Galli, Zaveri Bazaar, Champa Galli Cross Lane, Kalbadevi, Mumbai - 400002"
Gupta Oil And General Stores Thakurdwar Kalbadevi,0.69 KM,,0 Votes,"Siddhesh Building Shop No 6, Dr.j B Marg, Thakurdwar-Kalbadevi, Mumbai - 400002"
Shrikant General Store Opposite Prakash Paper Mart Kalbadevi,0.69 KM,,0 Votes,"Shop no.117, Dadiseth Agiary Lane, Kalbadevi, Mumbai - 400002, Opposite.,Prakash Paper Mart"
Shreekant General Stores Kalbadevi,0.69 KM,,0 Votes,"117, Dadisheth Agyari Lane, Kalbadevi, Mumbai - 400002"
Morghar Kirana Store Mughbhat Thakurdwar Kalbadevi,0.71 KM,,0 Votes,"Chogdewala Building, Plot No.10, Mughbhat Lane, Thakurdwar-Kalbadevi, Mumbai - 400002, Mughbhat"
Maharashtra general store Near station Thakurdwar Kalbadevi,0.72 KM,,0 Votes,"Shop no 9 Mehta estate, Baba saheb marg, Thakurdwar-Kalbadevi, Mumbai - 400002, Near station"
Niyati Stores Thakurdwar Kalbadevi,,4.0,2 Votes,"305,, Jss Road, Kalbadevi, Mumbai - 400002, Thakurdwar"
Kiran General Stores Opposite Bombay Medical Kalbadevi,,,0 Votes,"Shop No 5, Dr Ch Street, Kalbadevi, Mumbai - 400002, Opposite Bombay Medical"
Khira General Store,,,0 Votes,Mumbai - 400002
A v store Kalbadevi,0.8 KM,,0 Votes,"wagh wadi, Kalbadevi Road, Kalbadevi, Mumbai - 400002"
Eklingji General Stores Thakurli Murlidhar Temple Trust Chira Bazar Kalbadevi,0.81 KM,,0 Votes,"350/B, Shop No. 3, Ground Floor, Thakurli Muralidhar temple trust, JSS Road, Chira Bazar-Kalbadevi, Mumbai - 400002, Thakurli Murlidhar Temple Trust"
Milan General store Near Chira Bazar Kalbadevi,0.82 KM,4.3,10 Votes,"197 Bhatiya Nivas, Dr Vigas Street, Kalbadevi, Mumbai - 400002, Near Chira Bazar"
Lokamanya Bidi shop Thakurdwar Naka Thakurdwar Kalbadevi,0.82 KM,,0 Votes,"Shop 301, Jagarnath Shankar Sheth Road, Thakurdwar-Kalbadevi, Mumbai - 400002, Thakurdwar Naka"
Niyati Store Opp Hotel Sunshine Kalbadevi,0.83 KM,5.0,1 Votes,"Shop No.-305, JSS Road,, Thakurdwar Road, Kalbadevi, Mumbai - 400002, Opp Hotel Sunshine"
Lokmanya bidi shop Near Thakurdwar signal Kalbadevi,0.83 KM,,0 Votes,"Shop No.6, Thakurdwar Road, Kalbadevi, Mumbai - 400002, Near Thakurdwar signal"
SM GENERAL Store Opp school Chira Bazar Kalbadevi,0.84 KM,,0 Votes,"Shop no 346, JSSRoad, Chira Bazar-Kalbadevi, Mumbai - 400002, Opp school"
Hari Store JSS road Chira Bazar Kalbadevi,0.84 KM,3.5,1 Votes,"388 Krishna Nivas, Shankar wadi road, Chira Bazar-Kalbadevi, Mumbai - 400002, JSS road"
Laxmi narayan pan bandar Opposite shivam bank Kalbadevi,0.85 KM,,0 Votes,"shop no 9, shri ganesh road, Kalbadevi, Mumbai - 400002, opposite shivam bank"
Bang Data Forms Pvt Ltd Dhobi Talao,0.85 KM,,0 Votes,"1st Floor, Mistry Building 635, J.S.S. Road,, Dhobi Talao, Mumbai - 400002"
