Name,Distance,Rating,Votes,Address
Sai General Store Opp sai Baba Mandir Chembur East,1.32 KM,,0 Votes,"P141,Old Barek, Chemvur Camp, Chembur East, Mumbai - 400074, Opp.sai Baba Mandir"
Virendra Gupta General Store Chembur East,1.38 KM,,0 Votes,"New Rna Park Bling No. 27/B 001, Mahul Gaon Road, Chembur East, Mumbai - 400074"
Jasraj Supermarket Opposite Borla Housing Society Chembur East,1.45 KM,3.8,68 Votes,"Vani Apartment A Wing Shop No 12, Dr Choitram Gidwani Marg, Chembur East, Mumbai - 400071, Opposite Borla Housing Society"
Brahmanand Pan General Store Chembur,1.52 KM,3.0,1 Votes,"Maitri Park, S T Stand, Chembur, Mumbai - 400071"
Mangala General Store Near R K Studio Chembur East,1.59 KM,,0 Votes,"Maitri Park, S T Road, Chembur East, Mumbai - 400071, Near R K Studio"
Raj Medical General Stores Bhawagan Society Khardev Nagar Ghatla Village Chembur East,1.62 KM,3.3,3 Votes,"Chembur East, Mumbai - 400071, Bhawagan Society, Khardev Nagar, Ghatla Village"
Mahalaxmi Pan Shop General Store Chembur East,1.62 KM,5.0,6 Votes,"Jari Mandir Road, Wadhavli Village, Chembur East, Mumbai - 400074"
H N General Store Near R C F Gate Number 3 Opposite M S Building Number 34 Chembur East,1.62 KM,,0 Votes,"Shop Number.8, Chembur Colony, Chembur East, Mumbai - 400074, Near R.C.F Gate Number.3,Opposite M.S Building Number.34"
Naraendra Kirana And General Store Chembur East,1.66 KM,3.0,2 Votes,"Azad Nagar, Mahul Road, Chembur East, Mumbai - 400074"
Swastik Kirana store Chembur Colony Chembur East,1.69 KM,4.0,1 Votes,"shop no 34, Dr c g road, Chembur Colony-Chembur East, Mumbai - 400074"
Jaiswal Kirana Stores Opp Rpf Gate No 3 Chembur East,1.69 KM,,0 Votes,"MS Building No.32 Gandhi Nagar Chembur Colony, Rc Marg, Chembur East, Mumbai - 400074, Opp Rpf Gate No.3"
Bharat General Store Vashi Naka Chembur East,1.7 KM,,0 Votes,"Shastri Nagar Co Operative Housing Society, R C Marg, Chembur East, Mumbai - 400074, Vashi Naka"
SAI Samarth Medical And General Stores Near Municipal School Chembur East,1.76 KM,3.0,4 Votes,"Shop No 3, Mata Prasad Building, Ghatala Village Road, Chembur East, Mumbai - 400071, Near Municipal School"
Subhash General Store Vashi Naka Chembur East,1.77 KM,,0 Votes,"Shop No 10, R C Marg, Chembur East, Mumbai - 400074, Vashi Naka"
Sashifa General Store Vashi Naka Chembur East,1.77 KM,,0 Votes,"Sardar Vallabhbhai Patel Nagar, Chembur East, Mumbai - 400074, Vashi Naka"
Pooja medical General store Vashi Naka Chembur East,1.77 KM,,0 Votes,"shankar temple, R c marg, Vashi Naka-Chembur East, Mumbai - 400074"
Manish Kirana And General Store Vashi Naka Chembur East,1.77 KM,,0 Votes,"Faruk Galli, R C Marg, Chembur East, Mumbai - 400074, Vashi Naka"
Hari Om General Stores Vasinaka Opposite The Chembur Nagarik Sakari Bank Chembur East,1.8 KM,4.7,10 Votes,"Shop 9, R C Marg, Chembur East, Mumbai - 400074, Vasinaka, Opposite The Chembur Nagarik Sakari Bank"
Gopi General Store Chembur East,1.8 KM,,0 Votes,"Shop No 8, Vashi Naka, Chembur Colony, R C Marg, Mahul Road, Chembur East, Mumbai - 400074"
Ashwin General Store Near Farook Galli Chembur East,1.8 KM,,0 Votes,"Vasi Naka, Chembur East, Mumbai - 400074, Near Farook Galli"
Shree Ganesh Farsan Mart General Stores Mukti Nagar Ghatla Chembur East,1.8 KM,4.2,9 Votes,"Shop No.314,, Chembur East, Mumbai - 400071, Mukti Nagar, Ghatla"
Shree Siddivinayak General Store Chembur East,1.81 KM,,0 Votes,"Manish Vijay Commercial Complex, Shop No. 3, Naka Mumbai, Vashi Goan, Chembur East, Mumbai - 400074"
Manoj Kirana Stores New Shastri Nagar Vashi Naka Chembur East,1.81 KM,,0 Votes,"Nagababa Nagar Road, Chembur East, Mumbai - 400074, New Shastri Nagar, Vashi Naka"
