Janata Masala Stores Neat Tip Top Farsan Mart Ghatkopar East,0.19 KM,3.8,11 Votes,"Shree Sadan Bldg, Vallabh Baug Lane, Ghatkopar East, Mumbai - 400077, Neat Tip Top Farsan Mart",https://www.justdial.com/Mumbai/Janata-Masala-Stores-Neat-Tip-Top-Farsan-Mart-Ghatkopar-East/022POCE2596_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdoYXRrb3Bhcg==,Ghatkopar

Benefit Counter Opposite Kotak Mahindra Bank Ghatkopar East,0.22 KM,4.1,17 Votes,"Kailash Mahal, Vallabh Baug Lane, Ghatkopar East, Mumbai - 400077, Opposite Kotak Mahindra Bank",https://www.justdial.com/Mumbai/Benefit-Counter-Opposite-Kotak-Mahindra-Bank-Ghatkopar-East/022P1943623_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdoYXRrb3Bhcg==,Ghatkopar

Vijay general store Near ashirwad hospital Ghatkopar East,0.48 KM,4.0,45 Votes,"Shop No 1, Kailash Kiran Building, Tilak Road, Ghatkopar East, Mumbai - 400077, Near ashirwad hospital",https://www.justdial.com/Mumbai/Vijay-general-store-Near-ashirwad-hospital-Ghatkopar-East/022PXX22-XX22-130112134929-I2H3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdoYXRrb3Bhcg==,Ghatkopar

Apna Bazar Co op Departmental Store Garodia Nagar Ghatkopar East,0.88 KM,3.8,69 Votes,"Shop No 7/8 Plot No 130 Mahavir Mahal, Ghatkopar East, Mumbai - 400077, Garodia Nagar",https://www.justdial.com/Mumbai/Apna-Bazar-Co-op-Departmental-Store-Garodia-Nagar-Ghatkopar-East/022P8904595_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdoYXRrb3Bhcg==,Ghatkopar

Sahakar Bhandar Beside Mumbai District Bank Ghatkopar West,1.7 KM,3.8,14 Votes,"Shop No 1/2, Ramsagar, Bhatwadi, Ghatkopar West, Mumbai - 400084, Beside Mumbai District Bank",https://www.justdial.com/Mumbai/Sahakar-Bhandar-Beside-Mumbai-District-Bank-Ghatkopar-West/022P1227640148F8E5P7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdoYXRrb3Bhcg==,Ghatkopar

