Name,Distance,Rating,Votes,Address,Website,OriginFile
Kenorita Supermarket Opposite Dariya Mahal Near Priya Darshni Nepean Sea Road,1.67 KM,4.1,471 Votes,"75, Sagar Tarang Building, Nepean Sea Road, Mumbai - 400006, Opposite Dariya Mahal, Near Priya Darshni",https://www.justdial.com/Mumbai/Kenorita-Supermarket-Opposite-Dariya-Mahal-Near-Priya-Darshni-Nepean-Sea-Road/022P8710505_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Sahakari Bhandar Opposite Priyadarshini Park Nepean Sea Road,1.25 KM,4.0,214 Votes,"Hyderabad Estate, B Block, Ground Floor, Nepean Sea Road, Mumbai - 400006, Opposite Priyadarshini Park",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Opposite-Priyadarshini-Park-Nepean-Sea-Road/022PXX22-XX22-100916143840-J6F9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Manilal Provision Store Near Wiaa Club Malabar Hill,1.29 KM,4.1,65 Votes,"Shop No 23, David Sasson Chawl, 10 Ridge Road, Malabar Hill, Mumbai - 400006, Near Wiaa Club",https://www.justdial.com/Mumbai/Manilal-Provision-Store-Near-Wiaa-Club-Malabar-Hill/022P8403916_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Apna bazar Opposite Phadkewadi Ganpati Mandir Girgaon,1.8 KM,3.8,179 Votes,"Shop No 136, Tulsi Mansion Building, V P Road, Girgaon, Mumbai - 400004, Opposite Phadkewadi Ganpati Mandir",https://www.justdial.com/Mumbai/Apna-bazar-Opposite-Phadkewadi-Ganpati-Mandir-Girgaon/022PXX22-XX22-120731121224-X9W2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Welcome General Store Near Shayadri Guest House Malabar Hill,1.4 KM,4.3,99 Votes,"Shop No 1-1A, Mini Sudarshan Building, 22, LD Ruparel Marg, Malabar Hill, Mumbai - 400006, Near Shayadri Guest House",https://www.justdial.com/Mumbai/Welcome-General-Store-Near-Shayadri-Guest-House-Malabar-Hill/022PXX22-XX22-151229153536-T9D1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Apna Bazar Opposite Fire Brigade Nana Chowk Grant Road,0.57 KM,3.9,10 Votes,"Ness Baug Building, Grant Road, Mumbai - 400007, Opposite Fire Brigade, Nana Chowk",https://www.justdial.com/Mumbai/Apna-Bazar-Opposite-Fire-Brigade-Nana-Chowk-Grant-Road/022P28341_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Kamdhenu Gowalia Tank Kemps Corner,0.2 KM,4.2,55 Votes,"Shop No. 20, Warden Court Building, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Gowalia Tank",https://www.justdial.com/Mumbai/Kamdhenu-Gowalia-Tank-Kemps-Corner/022P8127623_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Devshi Nathubhai Co Near Grant Road Railway Station Grant Road,0.73 KM,4.1,19 Votes,"Shop No 6, 36 D, Avishkar Building, Sleater Road, Grant Road, Mumbai - 400007, Near Grant Road Railway Station",https://www.justdial.com/Mumbai/Devshi-Nathubhai-Co-Near-Grant-Road-Railway-Station-Grant-Road/022PK058514_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Geetanjali Super Market Opposite Brahman Sabha R R M Roy Marg Charni Road,1.44 KM,4.0,108 Votes,"3/4, Suratwala Building,211, Raja Ram Mohan Roy Marg, Charni Road, Mumbai - 400004, Opposite Brahman Sabha, R R M Roy Marg",https://www.justdial.com/Mumbai/Geetanjali-Super-Market-Opposite-Brahman-Sabha-R-R-M-Roy-Marg-Charni-Road/022PXX22-XX22-000811503617-U9P1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Vishal Super Market Opposite J K Building No 5 Gamdevi,0.78 KM,4.0,47 Votes,"2/3 Royal Chambers, H G Road, Gamdevi, Mumbai - 400007, Opposite J K Building No 5",https://www.justdial.com/Mumbai/Vishal-Super-Market-Opposite-J-K-Building-No-5-Gamdevi/022PXX22-XX22-000981614429-W1D1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
