Name,Distance,Rating,Votes,Address,Website,OriginFile
Bismillah Soap Opp Kala Pani Chauki Agripada,0.28 KM,4.0,3 Votes,"Shop No. 78 C, Maulana Azad Road, Agripada, Mumbai - 400011, Opp Kala Pani Chauki",https://www.justdial.com/Mumbai/Bismillah-Soap-Opp-Kala-Pani-Chauki-Agripada/022PXX22-XX22-140801121930-V8E3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Rawnak General Store Apsara Hotel Agripada,0.33 KM,,0 Votes,"Hingwali Chawl Shop No. 6w, M.A. Road, Agripada, Mumbai - 400011, Apsara Hotel",https://www.justdial.com/Mumbai/Rawnak-General-Store-Apsara-Hotel-Agripada/022PXX22-XX22-160322172652-X4Z8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Daksha General Stores Agripada,0.33 KM,4.0,3 Votes,"Llal Gali, Ghas Bazar, Rto Colony, Dr Anandrao Nair Marg, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Daksha-General-Stores-Agripada/022PXX22-XX22-200626101114-G1E8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Anita General Store Opposite Jila Maidan Agripada,0.37 KM,,0 Votes,"BIT Chawl No.02 Shop No 11, Agripada, Mumbai - 400011, Opposite Jila Maidan",https://www.justdial.com/Mumbai/Anita-General-Store-Opposite-Jila-Maidan-Agripada/022PXX22-XX22-140630143938-S1Z2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Noor Medical General Stores Jacob Circle Agripada,0.62 KM,5.0,1 Votes,"Agripada, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Noor-Medical-General-Stores-Jacob-Circle-Agripada/022PXX22-XX22-120124150756-K1V6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Gautam Provision General Stores Agripada Mahalaxmi,,,0 Votes,"Shop No 3, Bit Block No 20, Ground Floor, R B Chandorkar Marg, Mahalaxmi, Mumbai - 400011, Agripada",https://www.justdial.com/Mumbai/Gautam-Provision-General-Stores-Agripada-Mahalaxmi/022PF018119_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Rising Kirana General Store Near Ahle Hadees Masjid Mominpura Agripada,0.72 KM,,0 Votes,"Shop No 54, Maulana Azad Road, Agripada, Mumbai - 400011, Near Ahle Hadees Masjid, Mominpura",https://www.justdial.com/Mumbai/Rising-Kirana-General-Store-Near-Ahle-Hadees-Masjid-Mominpura-Agripada/022PXX22-XX22-180124145011-B4B2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Sonu Monu Dry Fruits Sweets Namkeen Near Jacab Circal Mahalaxmi,0.66 KM,4.0,20 Votes,"Shop No 12 ,46/A Rasul Bulding, K K Marg, Mahalaxmi, Mumbai - 400011, Near Jacab Circal",https://www.justdial.com/Mumbai/Sonu-Monu-Dry-Fruits-Sweets-Namkeen-Near-Jacab-Circal-Mahalaxmi/022PXX22-XX22-091011295448-IAPP_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Arihant Medical General Stores Maharashtra Nagar Mahalaxmi,1.19 KM,4.7,3 Votes,"5/1, 24, J R Boricha Marg, Mahalaxmi, Mumbai - 400011, Maharashtra Nagar",https://www.justdial.com/Mumbai/Arihant-Medical-General-Stores-Maharashtra-Nagar-Mahalaxmi/022P1979624_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Shree Ganesh General Store Near Jacob Circle Mahalaxmi,1.84 KM,3.8,2 Votes,"Shop No 1 Shanti Niketan Building, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near Jacob Circle",https://www.justdial.com/Mumbai/Shree-Ganesh-General-Store-Near-Jacob-Circle-Mahalaxmi/022PXX22-XX22-160311122052-E3M4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
